time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,roll_ddot,pitch_ddot,yaw_ddot,quat_w,quat_x,quat_y,quat_z,quat_dot_w,quat_dot_x,quat_dot_y,quat_dot_z
0.77,0.00334021170853315,0,-0.0365583911419271,0.0174065875269426,0,-0.168325698394633,0.067787193577507,0,-0.525538134412664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,0.00351769585503195,0,-0.038268051808231,0.0180931410003091,0,-0.173619074741973,0.0695267272623806,0,-0.53312201586927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79,0.00370213283485951,0,-0.040031023909233,0.0187971863130282,0,-0.178987831960633,0.0712855330977015,0,-0.540613874374089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0.00389369852716924,0,-0.0418480566093759,0.0195189153310565,0,-0.184431036914916,0.0730634394707876,0,-0.548011140960749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81,0.00409257072114327,0,-0.0437198896145215,0.0202585181891657,0,-0.189947731146517,0.0748602717607947,0,-0.555311319971551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82,0.00429892909853051,0,-0.0456472529223797,0.0210161832609642,0,-0.195536931604549,0.0766758523594291,0,-0.562511988445849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0.00451295521588604,0,-0.0476308665802076,0.0217920971291269,0,-0.201197631369454,0.0785100006916594,0,-0.569610795508418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,0.00473483248651373,0,-0.0496714404497167,0.0225864445558309,0,-0.2069288003708,0.080362533236429,0,-0.576605461757829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,0.00496474616211432,0,-0.0517696739791277,0.0233994084533988,0,-0.212729386098963,0.0822332635473679,0,-0.583493778654828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,0.00520288331414098,0,-0.0539262559823116,0.0242311698551493,0,-0.218598314310688,0.0841220022735051,0,-0.590273607910701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87,0.00544943281486434,0,-0.0561418644249553,0.0250819078864548,0,-0.224534489728538,0.0860285571799805,0,-0.596942880875656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.88,0.00570458531814925,0,-0.0584171662176921,0.0259517997360058,0,-0.230536796734222,0.0879527331687573,0,-0.603499597927193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89,0.00596853323994505,0,-0.060752817016134,0.0268410206272828,0,-0.236604100055814,0.0898943322993342,0,-0.60994182785848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0.00624147073849179,0,-0.0631494610277462,0.0277497437902355,0,-0.242735245448849,0.0918531538094571,0,-0.616267707266723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91,0.00652359369424409,0,-0.0656077308255011,0.0286781404331684,0,-0.248929060371306,0.0938289941358319,0,-0.622475439941546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,0.00681509968951507,0,-0.068128247168253,0.0296263797148342,0,-0.255184354652473,0.0958216469348359,0,-0.628563296253358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.93,0.00711618798784209,0,-0.0707116188277695,0.030594628716734,0,-0.261499921155699,0.0978309031032307,0,-0.634529612541734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.94,0.00742705951307662,0,-0.0733584424223605,0.031583052415625,0,-0.267874536435026,0.0998565507988739,0,-0.640372790503784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,0.00774791682820022,0,-0.0760693022570427,0.0325918136562343,0,-0.274306961385705,0.101898375461431,0,-0.646091296582527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,0.00807896411386865,0,-0.0788447701701792,0.0336210731241813,0,-0.280795941888599,0.103956159833089,0,-0.65168366135527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,0.00842040714668629,0,-0.0816854053865316,0.0346709893191062,0,-0.287340209448466,0.106029683979266,0,-0.657148478921975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98,0.00877245327721282,0,-0.0845917543766653,0.0357417185280057,0,-0.293938481826132,0.108118725309325,0,-0.662484406293637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,0.00913531140770435,0,-0.0875643507226453,0.0368334147987763,0,-0.300589463664536,0.110223058597287,0,-0.667690162780659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.009509191969591,0,-0.0906037149899622,0.037946229913964,0,-0.307291847108671,0.112342456002541,0,-0.672764529381223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01,0.00989430690069301,0,-0.0937103546056269,0.0390803133647222,0,-0.314044312419402,0.114476687090558,0,-0.677706348169665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02,0.0102908696221774,0,-0.096884763742373,0.0402358123249755,0,-0.32084552858117,0.116625518853602,0,-0.682514521684849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03,0.0106990950152575,0,-0.100127423208906,0.0414128716257916,0,-0.327694153903578,0.118788715731441,0,-0.687188012318541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
